"('Mayur Naik', 1)"
"('Ser-Nam Lim', 1)"
"('Luk Burchard', 1)"
"('Max Xiaohang Zhao', 1)"
"('Johannes Langguth', 1)"
"('Aydın Buluç', 1)"
"('Giulia Guidi', 1)"
"('Sayan Deb Sarkar', 1)"
"('Ondrej Miksik', 1)"
"('Marc Pollefeys', 1)"
"('Daniel Barath', 1)"
"('Iro Armeni', 1)"
"('Zhengxuan Wu', 1)"
"('Atticus Geiger', 1)"
"('Christopher Potts', 1)"
"('Noah D. Goodman', 1)"
"('Zineng Tang', 1)"
"('Ziyi Yang', 1)"
"('Chenguang Zhu', 1)"
"('Michael Zeng', 1)"
"('Chao Zhang', 1)"
"('Shiwei Wu', 1)"
"('Sirui Zhao', 1)"
"('Tong Xu', 1)"
"('Enhong Chen', 1)"
"('Edward Hughes', 1)"
"('Yoram Bachrach', 1)"
"('Tantum Collins', 1)"
