Paul R. Prucnal
Sudip Shekhar
Bhavin J. Shastri
Mathieu Serrurier
Franck Mamalet
Thomas Fel
Louis Béthune
Thibaut Boissin
Alejandro Sánchez-Roncero
Òscar Garibo-i-Ortsa
J. Alberto Conejero
Hamidreza Eivazi
Fermín Mallor
Emelie Rosenberg
Francesco Fuso-Nerini
Javier García-Martínez
Ricardo Vinuesa
Sergio Hoyas
Joey Hong
Kush Bhatia
Anca Dragan
Lakshita Dodeja
Pradyumna Tambwekar
Erin Hedlund-Botti
Matthew Gombolay
Anthony Sicilia
Jennifer C. Gates
Malihe Alikhani
Hang Zhang
Xin Li
Lidong Bing
Jim Davis
Prithvijit Chattopadhyay
Deshraj Yadav
Viraj Prabhu
Arjun Chandrasekaran
Abhishek Das
Stefan Lee
Dhruv Batra
Devi Parikh
Astrid Carolus
Martin Koch
Samantha Straka
Marc Erich Latoschik
Carolin Wienrich
Stephanie Galaitsi
Benjamin D. Trump
Jeffrey M. Keisler
Igor Linkov
Alexander Kott
Yinghua Li
Xueqi Dang
Haoye Tian
Tiezhu Sun
Zhijie Wang
Lei Ma
Jacques Klein
Tegawende F. Bissyande
Sixing Yu
Murali Emani
Chunhua Liao
Pei-Hung Lin
Tristan Vanderbruggen
Xipeng Shen
Ali Jannesari
Krishna Ronanki
Beatriz Cabrero-Daniel
Jennifer Horkoff
Christian Berger
Cecilia Ka Yuk Chan
A. N. Vasil'ev
V. I. Marchenko
A. I. Smirnov
S. S. Sosin
H. Yamada
Y. Ueda
Liang Liu
Jiasen Niu
Huiqiang Guo
Jian Wei
D. L. Li
J. F. Feng
X. F. Han
J. M. D. Coey
X. -G. Zhang
Ion Dronic
Chang Woo Myung
Saqib Javaid
Kwang S. Kim
Geunsik Lee
Dhruv Malik
Malayandi Palaniappan
Jaime F. Fisac
Dylan Hadfield-Menell
Stuart Russell
Anca D. Dragan
Peng-Liang Guo
Tao Li
Qing Ai
Fu-Guo Deng
Upol Ehsan
Pradyumna Tambwekar
Larry Chan
Brent Harrison
Mark Riedl
Sudhir Kumar
Mithun Das Gupta
Xu Lu
Jie Wang
Bojin Zhuang
Shaojun Wang
Jing Xiao
Mohamed Raessa
Jimmy Chi Yin Chen
Weiwei Wan
Kensuke Harada
Marzieh Edraki
Nazanin Rahnavard
Mubarak Shah
Jessica Hamrick
Shakir Mohamed
Alain Rakotomamonjy
Rémi Flamary
Gilles Gasso
Mokhtar Z. Alaya
Maxime Berar
Nicolas Courty
Mathieu Klein
